2025-02-18 00:52:48,601 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "GET /api/google-maps-init HTTP/1.1" 200 -
2025-02-18 00:52:48,670 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,670 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,674 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,676 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "GET /api/google-maps-init HTTP/1.1" 200 -
2025-02-18 00:52:48,674 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,677 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,676 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "GET /api/google-maps-init HTTP/1.1" 200 -
2025-02-18 00:52:48,677 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,682 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,684 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,682 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,684 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "POST /api/save-user HTTP/1.1" 200 -
2025-02-18 00:52:48,889 | api.external_api | INFO | Found state NV for location Las Vegas
2025-02-18 00:52:48,893 | api.external_api | INFO | Found 0 alerts for state NV
2025-02-18 00:52:48,894 | api.external_api | INFO | Returning 0 total alerts across all locations
2025-02-18 00:52:48,897 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "GET /api/external/alerts?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:48,897 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:48] "GET /api/external/alerts?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
2025-02-18 00:52:49,627 | werkzeug | INFO | 172.18.0.1 - - [18/Feb/2025 00:52:49] "GET /api/locations?userId=user_2spbTMDhwH9wcaHFZTOuQtN5thi HTTP/1.1" 200 -
